episode,reward,step,sensitive,compromised,time
196,-45,54,0,0,35.577
197,-54,57,0,0,37.341
198,-1004,14,0,0,9.261999999999999
199,-1033,34,0,0,22.331
200,-996,9,0,1,213.93200000000002
201,-33,51,0,0,32.585
202,60,53,1,2,32.800000000000004
203,-1003,4,0,0,2.4499999999999997
204,-34,52,0,0,32.053
205,-33,51,0,0,31.371999999999996
206,-41,53,0,0,32.486000000000004
207,-44,53,0,0,32.509
208,-47,53,0,0,32.417
209,-28,49,0,1,30.203
210,-34,52,0,1,242.674
211,-37,52,0,1,35.055
212,-1009,13,0,0,7.936
213,-1003,4,0,0,2.4450000000000003
214,-29,50,0,1,30.744
215,-54,57,0,0,34.815
216,-25,52,0,1,31.923
217,-42,51,0,0,31.136
218,-1007,20,0,0,12.274000000000001
219,-36,51,0,1,31.229
220,-42,54,0,0,242.377
221,-1004,8,0,0,6.485
222,-1001,8,0,0,4.877000000000001
223,-1031,41,0,1,25.070999999999998
224,-33,51,0,2,31.306
225,-31,55,0,1,33.574
226,-26,50,0,1,30.622
227,-34,52,0,0,32.059999999999995
228,65,51,1,1,31.69
229,63,56,1,2,34.561
230,-37,52,0,1,240.21
231,64,52,1,2,34.67
232,-36,54,0,0,34.278999999999996
233,-1039,52,0,0,32.027
234,71,54,1,1,33.483
235,75,50,1,2,31.084
236,62,57,1,1,35.219
237,78,56,1,3,34.613
238,-43,55,0,0,33.827999999999996
239,-39,54,0,1,33.321000000000005
240,-41,53,0,0,233.025
241,-1011,27,0,0,16.95
242,64,55,1,2,33.522000000000006
243,-35,53,0,1,32.348
244,-29,50,0,0,30.458
245,-38,50,0,0,30.204
246,-39,54,0,0,32.719
247,-36,48,0,1,29.076
248,-1034,47,0,0,28.416
249,-36,51,0,0,30.953000000000003
250,66,50,1,1,238.929
251,-919,36,1,1,23.580000000000002
252,-20,50,0,3,30.453999999999997
253,58,55,1,1,33.230000000000004
254,-40,52,0,0,32.779
255,-34,52,0,0,31.78
256,-29,50,0,0,30.302
257,-1009,19,0,0,11.514
258,-31,55,0,1,33.417
259,-1005,15,0,0,9.114
260,-39,54,0,0,240.649
261,-41,53,0,0,34.764
262,-1005,9,0,0,5.479
263,-25,52,0,1,31.881
264,-44,56,0,0,34.086999999999996
265,-38,50,0,0,30.415000000000003
266,-47,56,0,0,34.098000000000006
267,-1005,9,0,0,5.54
268,-42,54,0,0,32.772999999999996
269,67,52,1,2,31.683000000000003
270,-31,52,0,1,241.55499999999998
271,-36,51,0,0,33.902
272,-40,58,0,0,35.471000000000004
273,65,51,1,1,31.195
274,-31,49,0,0,29.837
