episode,reward,step,sensitive,compromised,time
204,205,125,3,4,86.338
205,233,88,3,3,60.333999999999996
206,249,81,3,4,55.59
207,238,89,3,4,60.964
208,66,157,2,3,108.521
209,220,104,3,4,71.711
210,247,80,3,4,282.661
211,264,63,3,4,46.718
212,258,66,3,3,45.481
213,53,68,2,2,46.863
214,268,53,3,3,36.525
215,261,63,3,3,43.706
216,22,123,2,4,85.77600000000001
217,-18,32,1,2,21.941
218,294,24,3,3,16.509
219,238,89,3,4,61.39
220,189,135,3,4,316.514
221,-25,39,1,1,29.119
222,262,56,3,3,38.364000000000004
223,268,50,3,3,34.256
224,270,57,3,4,39.454
225,264,60,3,4,41.292
226,270,51,3,3,35.017
227,66,154,2,2,105.67999999999999
228,277,44,3,3,30.166999999999998
229,241,83,3,3,56.985
230,247,77,3,4,272.135
231,199,119,3,3,83.986
232,265,59,3,4,40.487
233,273,48,3,3,32.888
234,203,124,3,4,85.415
235,259,65,3,4,44.905
236,218,106,3,4,72.78099999999999
237,259,68,3,4,46.61
238,281,40,3,4,27.468
239,263,58,3,3,39.768
240,279,42,3,3,250.052
241,269,55,3,3,40.007
242,268,53,3,3,36.524
243,243,84,3,4,59.825
244,261,60,3,3,43.215999999999994
245,195,132,3,4,95.511
246,250,71,3,3,50.777
247,233,91,3,4,62.444
248,227,97,3,4,66.605
249,267,54,3,3,36.983000000000004
250,290,34,3,4,247.433
251,267,57,3,3,40.954
252,277,44,3,3,30.110000000000003
253,270,51,3,3,34.963
254,282,36,3,3,24.625999999999998
255,259,68,3,4,46.773
256,234,96,3,4,65.982
257,285,39,3,4,26.835
258,227,109,3,5,74.972
259,91,27,2,2,18.535
260,283,38,3,3,246.252
261,287,31,3,3,23.546999999999997
262,279,45,3,3,31.067
263,269,58,3,4,40.064
264,270,57,3,4,39.458
265,280,38,3,3,26.179000000000002
266,284,37,3,3,25.439
267,273,48,3,3,33.003
268,286,35,3,3,24.003
269,283,38,3,3,26.200999999999997
270,254,70,3,3,267.14
271,285,36,3,3,25.215
272,295,35,3,4,24.062
273,81,40,2,2,27.479
274,256,62,3,3,42.579
275,245,82,3,4,56.341
276,76,51,2,3,34.984
277,280,38,3,3,25.985
278,-10,27,1,1,18.419
279,273,48,3,3,32.915
280,273,51,3,4,252.38699999999997
281,-19,33,1,1,25.287
282,265,59,3,3,40.52
283,279,39,3,3,26.663
284,264,57,3,3,39.08
285,268,53,3,3,36.288000000000004
286,279,42,3,3,28.753
287,244,80,3,3,55.004
288,225,96,3,4,65.95700000000001
289,269,49,3,3,33.545
290,269,52,3,4,259.318
291,251,73,3,3,51.717
292,278,49,3,4,33.829
293,286,32,3,3,22.0
294,284,37,3,3,25.551000000000002
295,270,54,3,4,37.196
296,290,34,3,4,23.387
297,250,71,3,3,48.643
298,261,63,3,3,43.272999999999996
299,271,50,3,3,34.291000000000004
300,297,21,3,3,234.621
301,259,65,3,3,44.635
302,279,42,3,3,29.151
303,262,62,3,3,42.808
304,285,39,3,3,26.932000000000002
305,272,55,3,4,37.976000000000006
306,241,83,3,4,57.545
307,280,41,3,4,28.215
308,285,33,3,3,22.661
309,267,54,3,3,36.964999999999996
310,63,64,2,4,266.449
311,256,62,3,3,43.261
312,293,31,3,3,21.404
313,264,57,3,3,39.093
314,290,28,3,3,19.220000000000002
315,273,45,3,3,31.015
316,297,21,3,3,14.424
317,280,41,3,3,28.124
318,279,39,3,3,26.735
319,278,40,3,3,27.391
320,264,54,3,3,213.37800000000001
321,273,48,3,4,33.249
322,276,48,3,3,33.365
323,246,75,3,4,51.955
324,275,52,3,4,36.211
325,277,50,3,4,34.692
326,257,67,3,3,46.556
327,273,48,3,3,33.298
328,264,60,3,3,41.602
329,-101,2,0,0,1.389
330,289,35,3,3,194.129
331,273,54,3,4,37.900000000000006
332,260,67,3,4,47.003
333,280,41,3,3,28.707
334,278,46,3,4,32.214
335,286,32,3,3,22.353
336,282,39,3,3,27.154
337,293,25,3,3,17.427999999999997
338,257,67,3,3,46.532
339,275,52,3,4,36.28
340,298,23,3,3,221.207
341,274,47,3,3,34.596000000000004
342,292,32,3,3,22.041
343,295,23,3,3,15.806000000000001
344,298,20,3,3,13.644
345,301,23,3,3,15.782999999999998
346,276,45,3,3,31.202
347,279,48,3,4,33.45
348,285,36,3,3,24.898
349,293,28,3,3,19.342000000000002
350,295,23,3,3,225.029
351,285,33,3,3,25.123
352,278,43,3,3,29.637
353,-152,59,0,0,40.458
354,296,22,3,3,15.027000000000001
355,98,17,2,2,11.647
356,289,29,3,3,19.959999999999997
357,274,53,3,4,36.725
358,301,26,3,4,18.086000000000002
359,279,45,3,4,31.175
360,297,24,3,3,224.31400000000002
361,287,34,3,3,26.654
362,286,35,3,3,24.14
363,298,23,3,4,15.905
364,288,33,3,3,22.911
365,299,25,3,3,17.317
366,291,27,3,3,18.694
367,299,28,3,3,19.503
368,284,40,3,3,27.747
369,305,16,3,3,11.098
370,242,82,3,3,266.175
371,279,42,3,4,31.130000000000003
372,283,41,3,4,28.542
373,279,39,3,3,26.993
374,292,32,3,3,22.214000000000002
375,295,26,3,3,18.116
376,284,40,3,4,27.725
377,279,42,3,4,29.035999999999998
378,284,34,3,3,23.619999999999997
379,277,47,3,3,32.502
380,298,23,3,3,228.14200000000002
381,300,18,3,3,13.026
382,284,37,3,3,25.743
383,288,36,3,4,25.205000000000002
384,293,28,3,3,19.594
385,286,35,3,3,24.435
386,276,57,3,4,39.939
387,286,38,3,4,26.557000000000002
388,281,40,3,3,28.146
389,287,34,3,4,23.857
390,301,20,3,3,222.545
391,284,43,3,3,30.868
392,295,23,3,3,15.947
393,281,43,3,3,29.99
394,304,17,3,3,11.82
395,304,14,3,3,9.764
396,293,28,3,3,19.484
397,289,29,3,3,20.188000000000002
398,299,22,3,3,15.342
399,284,34,3,3,23.718
400,291,30,3,3,231.56
401,301,17,3,3,14.346
402,287,34,3,3,23.679
403,293,28,3,3,19.426
404,291,30,3,4,20.941000000000003
405,295,29,3,4,20.169
406,306,18,3,4,12.592
407,280,41,3,3,28.52
408,294,27,3,4,18.849999999999998
409,296,22,3,3,15.304
410,298,20,3,3,228.495
411,289,35,3,3,27.605999999999998
412,92,29,2,2,20.719
413,293,25,3,3,17.813
414,268,56,3,4,40.135999999999996
415,271,50,3,3,36.201
416,294,27,3,3,19.431
417,272,52,3,3,37.282999999999994
418,296,22,3,3,15.363
419,294,27,3,3,18.782
420,296,25,3,4,208.895
421,291,27,3,3,22.776999999999997
422,81,40,2,2,27.851999999999997
423,282,36,3,3,24.957
424,288,30,3,3,20.753
425,222,105,3,4,73.036
426,276,42,3,3,29.166999999999998
427,282,45,3,4,31.292
428,295,23,3,3,15.937
429,297,21,3,3,14.57
430,285,36,3,4,236.936
431,287,37,3,4,27.791
432,297,21,3,3,14.612
433,277,47,3,4,32.846000000000004
434,277,41,3,3,28.51
435,298,20,3,3,13.984
436,303,15,3,3,10.5
437,304,14,3,3,9.82
438,285,33,3,3,22.986
439,291,27,3,3,18.984
440,293,25,3,3,226.968
441,288,30,3,3,22.805
442,283,38,3,3,26.497
443,261,63,3,4,44.095
444,280,38,3,3,26.568
445,283,38,3,4,26.553
446,271,47,3,3,32.827000000000005
447,300,18,3,3,12.503
448,293,25,3,3,17.392
449,281,37,3,3,25.662
450,283,41,3,4,242.991
451,282,39,3,3,30.887999999999998
452,293,28,3,3,19.456
453,287,34,3,3,23.8
454,266,58,3,4,40.597
455,288,30,3,3,21.045
456,295,32,3,4,22.262
457,-104,11,0,0,7.6819999999999995
458,286,35,3,3,24.412
459,267,54,3,3,37.521
460,263,58,3,3,250.10399999999998
461,301,17,3,3,14.694
462,292,26,3,3,18.065
463,297,21,3,3,14.605
464,267,54,3,3,37.492999999999995
465,281,37,3,3,25.617
466,275,43,3,3,29.866
467,295,26,3,4,18.03
468,299,19,3,3,13.216000000000001
469,280,41,3,3,28.38
470,292,29,3,3,231.293
471,288,30,3,3,23.581
472,277,41,3,3,28.483
473,296,28,3,3,19.569
474,289,38,3,4,26.492
475,261,63,3,4,43.814
476,285,33,3,3,23.07
477,283,41,3,4,28.657999999999998
478,272,49,3,4,34.306999999999995
479,297,24,3,4,16.784
480,281,37,3,3,236.397
481,294,24,3,3,18.66
482,288,30,3,3,20.887
483,296,25,3,4,17.445
484,280,44,3,4,30.736
485,262,65,3,4,45.518
486,282,39,3,3,27.169999999999998
487,286,35,3,4,24.431
488,269,49,3,3,34.108
489,276,48,3,4,33.417
490,267,57,3,3,249.903
491,296,22,3,3,16.078
492,285,33,3,3,22.874
493,285,33,3,3,23.038
494,300,18,3,3,12.46
495,303,15,3,3,10.395
496,283,35,3,3,24.202
497,298,20,3,3,13.869
498,294,30,3,4,20.87
499,294,24,3,3,16.615000000000002
500,291,30,3,3,236.691
501,293,28,3,3,23.071
502,276,45,3,3,31.179
503,101,17,2,2,11.843
504,267,57,3,4,39.817
505,285,36,3,3,25.1
506,292,32,3,4,22.449
507,71,56,2,3,39.175000000000004
508,303,18,3,4,12.604000000000001
509,287,34,3,4,23.652
510,264,57,3,3,246.767
511,265,59,3,3,41.868
512,287,34,3,4,23.77
513,286,32,3,3,22.307000000000002
514,263,55,3,3,38.254000000000005
515,300,18,3,3,12.546
516,292,32,3,4,22.461
517,293,25,3,3,17.546
518,294,24,3,3,16.977
519,285,33,3,3,23.125
520,294,24,3,3,226.17499999999998
521,261,63,3,4,45.181
522,288,33,3,3,22.892
523,287,37,3,4,25.654
524,280,47,3,4,32.703
525,290,31,3,4,21.544
526,255,66,3,3,45.788000000000004
527,275,46,3,4,31.948999999999998
528,286,35,3,3,24.281
529,279,45,3,3,31.286
530,275,52,3,4,247.285
531,286,38,3,4,29.788
532,284,43,3,4,30.009999999999998
533,289,29,3,3,20.403000000000002
534,301,17,3,3,11.904
535,293,37,3,4,25.908
536,305,16,3,4,11.17
537,278,40,3,3,27.923
538,294,27,3,4,21.068
539,282,39,3,4,31.184
540,279,42,3,3,242.45600000000002
541,297,24,3,4,21.085
542,288,36,3,4,25.027
543,292,29,3,4,20.212
544,292,29,3,4,20.212999999999997
545,297,24,3,4,16.711
546,285,36,3,4,25.103
547,297,21,3,3,14.703000000000001
548,293,31,3,4,21.585
549,287,34,3,3,23.679
550,303,21,3,3,223.319
551,283,38,3,3,27.874
552,264,63,3,4,43.901999999999994
553,-4,15,1,1,10.425
554,271,56,3,4,39.089999999999996
555,232,98,3,3,68.307
556,277,50,3,4,34.901
557,297,21,3,3,14.596
558,294,33,3,4,23.102
559,295,29,3,4,20.339
560,286,44,3,4,242.127
561,298,20,3,3,14.813
562,280,44,3,4,30.556
563,296,25,3,4,17.485
564,288,30,3,3,20.897
565,295,29,3,4,20.215
566,272,46,3,3,32.079
