scenario,algorithm,total_devices,sensitive_devices,techniques,sensitive_compromised,total_compromised,reward,steps,compromised_rate
SW,PPO,6,2,6,1.645,2.382,145.923,20.927,0.8225
SW,A2C,6,2,6,1.511,1.835,135.535,22.085,0.7555
SW,Dueling DQN,6,2,6,0.297,0.919,-62.923,14.061,0.1485
SW,DDQN,6,2,6,0.275,0.87,-63.852,13.812,0.1375
SW,DQN,6,2,6,0.332,0.994,-56.376,14.046,0.166
SWF,PPO,6,2,6,1.001,2.231,34.989,30.877,0.5005
SWF,A2C,6,2,6,0.671,0.814,19.623,46.743,0.3355
SWF,Dueling DQN,6,2,6,0.17,0.871,-80.694,20.466,0.085
SWF,DDQN,6,2,6,0.197,0.987,-77.224,20.614,0.0985
SWF,DQN,6,2,6,0.301,1.258,-61.487,19.95,0.1505
SWP,PPO,6,2,6,0.684,2.165,0.735,32.319,0.342
SWP,A2C,6,2,6,0.41,0.072,-43.228,38.283,0.205
SWP,Dueling DQN,6,2,6,0.021,0.759,-98.383,17.649,0.0105
SWP,DDQN,6,2,6,0.041,1.008,-93.811,17.953,0.0205
SWP,DQN,6,2,6,0.118,1.162,-84.121,17.162,0.059
SWFP,PPO,6,2,6,0.556,2.099,-14.543,38.986,0.278
SWFP,A2C,6,2,6,0.297,0.24,-38.484,36.089,0.1485
SWFP,Dueling DQN,6,2,6,0.023,0.82,-99.868,21.187,0.0115
SWFP,DDQN,6,2,6,0.053,1.053,-92.697,20.88,0.0265
SWFP,DQN,6,2,6,0.149,1.261,-80.596,19.723,0.0745
SB,PPO,6,2,6,0.943,2.647,56.931,50.267,0.4715
SB,A2C,6,2,6,0.812,1.173,43.665,46.902,0.406
SB,Dueling DQN,6,2,6,0.214,1.318,-63.133,41.012,0.107
SB,DDQN,6,2,6,0.235,1.326,-62.931,38.413,0.1175
SB,DQN,6,2,6,0.322,1.536,-52.869,36.388,0.161
SBF,PPO,6,2,6,0.827,2.307,44.262,49.759,0.4135
SBF,A2C,6,2,6,0.27,0.127,-50.272,49.659,0.135
SBF,Dueling DQN,6,2,6,0.057,1.181,-78.089,43.471,0.0285
SBF,DDQN,6,2,6,0.083,1.217,-80.463,39.432,0.0415
SBF,DQN,6,2,6,0.13,1.367,-78.017,35.661,0.065
SBP,PPO,6,2,6,0.453,1.812,-34.063,43.396,0.2265
SBP,A2C,6,2,6,0.334,0.209,-50.626,51.933,0.167
SBP,Dueling DQN,6,2,6,0.004,1.141,-88.296,40.246,0.002
SBP,DDQN,6,2,6,0.003,1.199,-94.116,36.311,0.0015
SBP,DQN,6,2,6,0.015,1.306,-93.64,32.661,0.0075
SBFP,PPO,6,2,6,0.314,1.451,-12.622,48.602,0.157
SBFP,A2C,6,2,6,0.091,0.087,-50.782,49.362,0.0455
SBFP,Dueling DQN,6,2,6,0.004,1.07,-84.017,43.116,0.002
SBFP,DDQN,6,2,6,0.002,1.163,-93.652,38.509,0.001
SBFP,DQN,6,2,6,0.015,1.376,-91.948,36.543,0.0075
